x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
00000000010100000000000000000000000	Gata1	Gfi1b	P	NA	1123.08	3.65671	3934	1119.42329	-2	NA	NA	+	0.720154452805933
01000000000000000000000000000001000	Cdh5	Sox7	P	NA	1073.19	3.68099	3934	1069.50901	2	NA	NA	+	0.696466404741499
00000000000000000000000000100001000	Notch1	Sox7	P	NA	994.075	3.66843	3934	990.40657	-2	NA	NA	+	0.683946749306841
10000000000000000000000000000000100	Cdh1	Tal1	P	NA	868.096	3.41191	3934	864.68409	-2	NA	NA	-	-0.743514256943831
00000000000000000000010000000000100	Lyl1	Tal1	P	NA	796.965	3.51024	3934	793.45476	2	NA	NA	+	0.642050410704342
01000000000000000100000000000000000	Cdh5	Kdr	P	NA	753.695	3.61844	3934	750.07656	-2	NA	NA	+	0.556573176617499
01010000000000000000000000000000000	Cdh5	Ets1	P	NA	695.412	3.63994	3934	691.77206	-2	NA	NA	+	0.553994111989976
00000010000000000000000000000000100	Fli1	Tal1	P	NA	693.24	3.45532	3934	689.78468	-2	NA	NA	+	0.646731494396618
00000000000000000000000000010000100	Pecam1	Tal1	P	NA	683.92	3.50321	3934	680.41679	2	NA	NA	+	0.608387164035706
01000000000001000000000000000000000	Cdh5	Hhex	P	NA	673.123	3.65554	3934	669.46746	2	NA	NA	+	0.554105827094433
00000000010010000000000000000000000	Gata1	HbbbH1	P	NA	663.155	3.66088	3934	659.49412	-2	NA	NA	+	0.563023247496345
01000010000000000000000000000000000	Cdh5	Fli1	P	NA	613.033	3.58988	3934	609.44312	-2	NA	NA	+	0.499529056577823
00000000000000001000010000000000000	Itga2b	Lyl1	P	NA	610.831	3.6442	3934	607.1868	1	NA	NA	+	0.534182232126106
00000000000100000000000001000000000	Gfi1b	Myb	P	NA	605.758	3.68059	3934	602.07741	2	NA	NA	+	0.538611195763437
00000000000000000000000000000001010	Sox7	Tbx20	P	NA	560.575	3.6806	3934	556.8944	2	NA	NA	+	0.520704210439831
00000000010000000000000000100000000	Gata1	Notch1	P	NA	511.784	3.65033	3934	508.13367	-2	NA	NA	-	-0.50600137134625
00000000000100001000000000000000000	Gfi1b	Itga2b	P	NA	503.637	3.67996	3934	499.95704	-2	NA	NA	+	0.491719247558381
00000000000000000000000100100000000	Meis1	Notch1	P	NA	483.174	3.66161	3934	479.51239	-2	NA	NA	+	0.490521125216264
00000000010000000000000000000010000	Gata1	Sox17	P	NA	450.291	3.65256	3934	446.63844	2	NA	NA	-	-0.450172978867968
00000000000000000000000000000000011	Tbx20	Tbx3	P	NA	389.456	3.68109	3934	385.77491	-2	NA	NA	+	0.435707821562892
01000000000000000000000000001000000	Cdh5	Procr	P	NA	378.33	3.64289	3934	374.68711	2	NA	NA	+	0.425822553511878
00000000000000000000100000000000100	Lmo2	Tal1	P	NA	354.803	3.54592	3934	351.25708	-2	NA	NA	+	0.371787210762805
00000000000100000000000000000100000	Gfi1b	Runx1	P	NA	338.137	3.56774	3934	334.56926	2	NA	NA	+	0.373323217867299
01100000000000000000000000000000000	Cdh5	Egfl7	P	NA	331.369	3.51319	3934	327.85581	2	NA	NA	+	0.372452181092436
00000000000000000000001100000000000	Mecom	Meis1	P	NA	237.504	3.60588	3934	233.89812	2	NA	NA	+	0.326159711677207
00000010000000000010000000000000000	Fli1	Kit	P	NA	209.642	3.34231	3934	206.29969	2	NA	NA	+	0.363878380678676
00000000000000000100000000100000000	Kdr	Notch1	P	Cdh5	203.756	5.59027	3934	198.16573	-2	NA	NA	+	0.364015776774092
00010000000000000000000000100000000	Ets1	Notch1	P	Cdh5	184.727	5.92059	3934	178.80641	2	NA	NA	+	0.352139241536436
01000100000000000000000000000000000	Cdh5	Etv6	P	NA	174.851	3.38507	3934	171.46593	2	NA	NA	+	0.268021853262516
00000000010000000000000100000000000	Gata1	Meis1	P	Notch1	176.314	6.34121	3934	169.97279	2	NA	NA	-	-0.29489585413133
00000000000000001000000000010000000	Itga2b	Pecam1	P	Lyl1	145.129	6.09191	3934	139.03709	-2	NA	NA	+	0.268649803414869
00000000000010000000000000000000010	HbbbH1	Tbx20	P	Gata1	143.56	6.3185	3934	137.2415	-2	NA	NA	-	-0.180560068619517
01000000000000000000000000000000100	Cdh5	Tal1	P	Fli1	139.709	5.4019	3934	134.3071	-2	NA	NA	+	0.188902927178206
00000000000100000000010000000000000	Gfi1b	Lyl1	P	Itga2b	136.463	6.19197	3934	130.27103	-2	NA	NA	+	0.238462438495494
01000000000000000000100000000000000	Cdh5	Lmo2	P	Tal1	131.836	5.0602	3934	126.7758	2	NA	NA	+	0.274052313128492
00000000000110000000000000000000000	Gfi1b	HbbbH1	P	Gata1	123.038	6.01535	3934	117.02265	2	NA	NA	+	0.198772187645255
00000000000001000000000000000001000	Hhex	Sox7	P	Cdh5	120.889	5.9533	3934	114.9357	2	NA	NA	+	0.283878077911701
00000000000000000000001000000010000	Mecom	Sox17	P	Meis1	113.165	6.21523	3934	106.94977	2	NA	NA	+	0.248640988002753
01000000000000000000000000010000000	Cdh5	Pecam1	P	Tal1	96.9286	5.26292	3934	91.66568	-2	NA	NA	+	0.228543793467488
00000000000000000000000001000000100	Myb	Tal1	P	Gfi1b	94.1671	5.83536	3934	88.33174	2	NA	NA	+	0.199860299929749
00000000000100000000000000000010000	Gfi1b	Sox17	P	Gata1,Itga2b	96.667	10.3508	3934	86.3162	-2	NA	NA	-	-0.217293135592874
00000000010000000000000000000000001	Gata1	Tbx3	P	Tbx20	87.5527	6.41192	3934	81.14078	2	NA	NA	-	-0.162675957334757
01000000001000000000000000000000000	Cdh5	Gfi1	P	NA	83.5822	3.44609	3934	80.13611	2	NA	NA	+	0.200688403052278
00010000000000000100000000000000000	Ets1	Kdr	P	Cdh5,Notch1	88.9844	8.97425	3934	80.01015	-2	NA	NA	+	0.250722173788966
00100000000000000000000000000001000	Egfl7	Sox7	P	Cdh5	84.366	5.51674	3934	78.84926	2	NA	NA	+	0.193239689162601
00000000000000000000010000010000000	Lyl1	Pecam1	P	Tal1,Itga2b	86.7715	8.92499	3934	77.84651	-2	NA	NA	+	0.253092153587706
00000000001100000000000000000000000	Gfi1	Gfi1b	P	NA	74.0618	3.43991	3934	70.62189	-2	NA	NA	+	0.194477587537618
10000000000000000100000000000000000	Cdh1	Kdr	P	Fli1	73.8971	5.86596	3934	68.03114	-2	NA	NA	-	-0.216679151560731
00000000010000000000000001000000000	Gata1	Myb	P	Gfi1b	67.5383	6.0535	3934	61.4848	2	NA	NA	+	0.16766420024792
00000000000000000000000010000000010	Mitf	Tbx20	P	NA	57.413	3.62341	3934	53.78959	-2	NA	NA	-	-0.170382819716063
00000000000000000000000000000001001	Sox7	Tbx3	P	Tbx20,Gata1	64.1182	10.9311	3934	53.1871	-2	NA	NA	+	0.0905651358547541
00000000000000000100000000001000000	Kdr	Procr	P	Cdh5	57.9764	5.65555	3934	52.32085	2	NA	NA	+	0.124690471021318
10000100000000000000000000000000000	Cdh1	Etv6	P	Cdh5	53.9664	5.14176	3934	48.82464	2	NA	NA	-	-0.217751375252636
00000000000000001000000000000100000	Itga2b	Runx1	P	Gfi1b	52.4229	5.91353	3934	46.50937	2	NA	NA	+	0.143447023037194
00000000000000000010000000010000000	Kit	Pecam1	P	Fli1	52.3452	5.84097	3934	46.50423	2	NA	NA	+	0.165742465291156
10000000000000000001000000000000000	Cdh1	Ldb1	P	NA	44.0213	3.00708	3934	41.01422	2	NA	NA	-	-0.175271889454741
00000000000000000000001000100000000	Mecom	Notch1	P	Meis1,Sox17	49.3532	10.7787	3934	38.5745	2	NA	NA	+	0.129487093777651
00000000000000000100000000000000010	Kdr	Tbx20	P	Sox7,Notch1	48.281	10.0884	3934	38.1926	-2	NA	NA	+	0.140718434246075
00000000000000001000000100000000000	Itga2b	Meis1	P	NA	39.7658	3.67358	3934	36.09222	2	NA	NA	-	-0.141730975814749
00000000000000001000000000000000100	Itga2b	Tal1	P	Lyl1,Pecam1	44.0673	9.37586	3934	34.69144	2	NA	NA	+	0.0872582816076624
00100000000000000000000000100000000	Egfl7	Notch1	P	Cdh5,Sox7	43.521	9.13906	3934	34.38194	-2	NA	NA	+	0.102348248709731
00000000000010000000000000100000000	HbbbH1	Notch1	P	Gata1,Tbx20,Sox17	48.3035	18.2587	3934	30.0448	-2	NA	NA	-	-0.0673242244648649
00000000000001000100000000000000000	Hhex	Kdr	P	Cdh5,Sox7,Tal1	41.8105	12.9156	3934	28.8949	2	NA	NA	+	0.110850808460637
00000000000001000000000000000000100	Hhex	Tal1	P	Cdh5,Fli1	34.6483	8.49979	3934	26.14851	2	NA	NA	+	0.110208773640239
00000001010000000000000000000000000	FoxH1	Gata1	P	NA	28.9522	3.06887	3934	25.88333	-2	NA	NA	+	0.101855642922798
10000000000000000000010000000000000	Cdh1	Lyl1	P	Tal1	31.0104	5.3946	3934	25.6158	-2	NA	NA	-	-0.102983148201494
00000000000000000000000000000011000	Sox17	Sox7	P	Gata1,Cdh5,Tbx20	40.8101	17.4467	3934	23.3634	-2	NA	NA	+	0.0990665877707762
01000000000000000000000100000000000	Cdh5	Meis1	P	Notch1,Mecom	33.5614	10.278	3934	23.2834	-2	NA	NA	+	0.117594924049513
00000000000001000000100000000000000	Hhex	Lmo2	P	Tal1,Cdh5	31.1867	8.96941	3934	22.21729	2	NA	NA	+	0.116801662205209
00000010000001000000000000000000000	Fli1	Hhex	P	Cdh5,Kdr,Tal1	33.7511	12.8359	3934	20.9152	2	NA	NA	+	0.10870095862787
00000000000000001000000000100000000	Itga2b	Notch1	P	NA	22.28	3.67358	3934	18.60642	2	NA	NA	-	-0.106215853750019
00000000100100000000000000000000000	FoxO4	Gfi1b	P	NA	19.7477	2.93278	3934	16.81492	-2	NA	NA	+	0.0857827794055146
00000100000000000100000000000000000	Etv6	Kdr	P	Cdh5,Cdh1	24.347	7.60431	3934	16.74269	-2	NA	NA	+	0.155291836909393
00000000000000000100000000000000100	Kdr	Tal1	P	Cdh5,Fli1	22.6324	7.95029	3934	14.68211	2	NA	NA	+	0.0677424642502852
00000000010000000000000010000000000	Gata1	Mitf	P	Tbx20	19.0302	6.39245	3934	12.63775	2	NA	NA	+	0.101771044972964
00000001100000000000000000000000000	FoxH1	FoxO4	P	Gfi1b	14.4267	3.37967	3934	11.04703	-2	NA	NA	+	0.158777039134085
00000000000000000000000000101000000	Notch1	Procr	P	Cdh5,Kdr	19.954	8.9659	3934	10.9881	-2	NA	NA	+	0.0954059941155511
00001000000000000000000000000001000	Ets2	Sox7	P	NA	12.9529	2.75621	3934	10.19669	-2	NA	NA	+	0.0761279805360582
00000010000000000000100000000000000	Fli1	Lmo2	P	Tal1,Cdh5,Hhex	21.6442	13.6339	3934	8.0103	2	NA	NA	+	0.0850222879681196
10000010000000000000000000000000000	Cdh1	Fli1	P	Tal1,Kdr,Lyl1,Gata1	26.1515	18.3218	3934	7.8297	2	NA	NA	-	-0.159309723108538
00000000000000010000000000000000001	HoxD8	Tbx3	P	NA	10.235	2.64584	3934	7.58916	-2	NA	NA	+	0.0640706519763229
00000000001000000000000001000000000	Gfi1	Myb	P	Gfi1b,Hhex	17.2797	10.2464	3934	7.0333	-2	NA	NA	+	0.063982644600506
10000000000000000010000000000000000	Cdh1	Kit	P	Fli1,Pecam1	16.4313	9.52167	3934	6.90963	2	NA	NA	-	-0.121363543956918
01000000000000000010000000000000000	Cdh5	Kit	P	Fli1,Pecam1	15.533	9.12286	3934	6.41014	-2	NA	NA	+	0.0518633158030681
00000000000000001000000000000010000	Itga2b	Sox17	P	Cdh1,Ldb1	12.2104	8.4961	3934	3.7143	2	NA	NA	-	-0.0788453755144282
00000000000000000001001000000000000	Ldb1	Mecom	P	Kdr	8.39428	5.29352	3934	3.10076	-2	NA	NA	+	0.0506349471731987
10000000000000000000000000010000000	Cdh1	Pecam1	P	Tal1,Fli1,Lyl1,Runx1	25.6694	22.623	3934	3.0464	-2	NA	NA	-	-0.0856864878146029
00000000000000100000000100000000000	HoxB2	Meis1	P	NA	5.41381	2.62003	3934	2.79378	-2	NA	NA	+	0.04217631788653
00000000000000100000000000100000000	HoxB2	Notch1	P	NA	5.41381	2.62003	3934	2.79378	-2	NA	NA	+	0.04217631788653
00100000000001000000000000000000000	Egfl7	Hhex	P	Cdh5,Kdr,Sox7	16.4411	14.0432	3934	2.3979	2	NA	NA	+	0.0836913628354093
00000000000000000000000001000001000	Myb	Sox7	P	Mitf	8.75766	6.54198	3934	2.21568	2	NA	NA	-	-0.0666733229894472
00000001000000000001000000000000000	FoxH1	Ldb1	P	Gfi1b,Tbx20	7.46611	6.83594	3934	0.63017	2	NA	NA	+	0.0983747714237503
00101000000000000000000000000000000	Egfl7	Ets2	P	Sox7	4.45423	4.01118	3934	0.443049999999999	2	NA	NA	+	0.069077581958048
00000000100000000100000000000000000	FoxO4	Kdr	N	Sox17,Gfi1b,FoxH1	9.83916	9.8571	3934	-0.0179400000000012	0	NA	NA	NA	NA
00000000000010000001000000000000000	HbbbH1	Ldb1	N	Itga2b	5.36292	5.42405	3934	-0.0611300000000004	0	NA	NA	NA	NA
00000010100000000000000000000000000	Fli1	FoxO4	N	Kdr	4.01147	4.0858	3934	-0.0743299999999998	0	NA	NA	NA	NA
00000000000010000000010000000000000	HbbbH1	Lyl1	N	Gfi1b	6.10473	6.18707	3934	-0.0823400000000003	0	NA	NA	NA	NA
00000000000000000010000000000000100	Kit	Tal1	N	Fli1,Pecam1	9.27338	9.38582	3934	-0.112440000000001	0	NA	NA	NA	NA
00000000000100000000000000000000100	Gfi1b	Tal1	N	Itga2b,Lyl1,Myb	14.7058	14.8393	3934	-0.1335	0	NA	NA	NA	NA
00000100000000000000000000100000000	Etv6	Notch1	N	Cdh5,Kdr	7.8073	7.94407	3934	-0.13677	0	NA	NA	NA	NA
10000000000001000000000000000000000	Cdh1	Hhex	N	Fli1	5.78235	5.942	3934	-0.15965	0	NA	NA	NA	NA
00001000000000000000000001000000000	Ets2	Myb	N	NA	2.56807	2.76198	3934	-0.19391	0	NA	NA	NA	NA
00000000000000000000000000011000000	Pecam1	Procr	N	Cdh5,Lmo2	10.5918	10.8056	3934	-0.213800000000001	0	NA	NA	NA	NA
00000000000001000000010000000000000	Hhex	Lyl1	N	Cdh5,Fli1	9.2541	9.4794	3934	-0.225300000000001	0	NA	NA	NA	NA
00000000010000000000000000000100000	Gata1	Runx1	N	Gfi1b,Itga2b,Myb,Kdr	22.6714	22.903	3934	-0.2316	0	NA	NA	NA	NA
00100000000000000010000000000000000	Egfl7	Kit	N	Fli1	5.49958	5.7339	3934	-0.23432	0	NA	NA	NA	NA
00000000000000000100000100000000000	Kdr	Meis1	N	Notch1,Cdh5	9.28903	9.52703	3934	-0.238	0	NA	NA	NA	NA
00000000000000000010000000001000000	Kit	Procr	N	Cdh5	5.48654	5.75319	3934	-0.26665	0	NA	NA	NA	NA
00000000000000000000100000000001000	Lmo2	Sox7	N	Tal1,Cdh5,Hhex	14.0324	14.3	3934	-0.2676	0	NA	NA	NA	NA
00000000010000010000000000000000000	Gata1	HoxD8	N	NA	2.32032	2.62724	3934	-0.30692	0	NA	NA	NA	NA
00000001001000000000000000000000000	FoxH1	Gfi1	N	Gfi1b	4.44351	4.76611	3934	-0.3226	0	NA	NA	NA	NA
00000000000000000000000010001000000	Mitf	Procr	N	NA	3.24144	3.57996	3934	-0.33852	0	NA	NA	NA	NA
00000000000000001100000000000000000	Itga2b	Kdr	N	NA	3.26753	3.61785	3934	-0.35032	0	NA	NA	NA	NA
00000100000000000000100000000000000	Etv6	Lmo2	N	Cdh5,Fli1,Cdh1	12.4424	12.809	3934	-0.3666	0	NA	NA	NA	NA
00000000001000000000000000000000001	Gfi1	Tbx3	N	Sox7	5.64149	6.01382	3934	-0.37233	0	NA	NA	NA	NA
00000000000000100000000000000000100	HoxB2	Tal1	N	NA	2.11783	2.49803	3934	-0.3802	0	NA	NA	NA	NA
