x	y	z.name	ui.vect	zi.vect	Ixy_ui	cplx	Rxyz_ui	category	Nxy_ui
00000000010100000000000000000000000	Gata1	Gfi1b	NA	NA	Cdh1,Cdh5,Egfl7,Ets1,Etv6,FoxH1,FoxO4,Gfi1,HbbbH1,Hhex,HoxB2,Itga2b,Kdr,Kit,Ldb1,Lyl1,Mecom,Meis1,Mitf,Myb,Notch1,Pecam1,Procr,Runx1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Fli1,HoxD8,Lmo2	1123.08	3.65671	0	3	3934
01000000000000000000000000000001000	Cdh5	Sox7	NA	NA	Cdh1,Egfl7,Ets1,Ets2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Notch1,Pecam1,Procr,Runx1,Sox17,Tal1,Tbx20,Tbx3,HoxB2	1073.19	3.68099	0	3	3934
00000000000000000000000000100001000	Notch1	Sox7	NA	NA	Cdh1,Cdh5,Egfl7,Ets1,Ets2,Etv6,Fli1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Pecam1,Procr,Runx1,Sox17,Tal1,Tbx20,Tbx3,FoxH1	994.075	3.66843	0	3	3934
10000000000000000000000000000000100	Cdh1	Tal1	NA	NA	Cdh5,Egfl7,Ets1,Ets2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1b,HbbbH1,Hhex,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mitf,Myb,Notch1,Pecam1,Procr,Runx1,Sox17,Sox7,Tbx20,Gfi1,Meis1,Tbx3	868.096	3.41191	0	3	3934
00000000000000000000010000000000100	Lyl1	Tal1	NA	NA	Cdh1,Cdh5,Egfl7,Ets1,Ets2,Etv6,Fli1,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,Itga2b,Kdr,Kit,Ldb1,Lmo2,Meis1,Myb,Notch1,Pecam1,Procr,Runx1,Sox7,Tbx20,Tbx3,FoxH1,FoxO4,Sox17	796.965	3.51024	0	3	3934
01000000000000000100000000000000000	Cdh5	Kdr	NA	NA	Cdh1,Egfl7,Ets1,Ets2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,Itga2b,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Notch1,Pecam1,Procr,Runx1,Sox17,Sox7,Tal1,Tbx20,Tbx3,HoxB2,HoxD8	753.695	3.61844	0	3	3934
01010000000000000000000000000000000	Cdh5	Ets1	NA	NA	Cdh1,Egfl7,Ets2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Notch1,Pecam1,Procr,Runx1,Sox17,Sox7,Tal1,Tbx20,Tbx3,HoxB2	695.412	3.63994	0	3	3934
00000010000000000000000000000000100	Fli1	Tal1	NA	NA	Cdh1,Cdh5,Egfl7,Ets1,Ets2,Etv6,FoxO4,Gfi1,Gfi1b,Hhex,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Notch1,Pecam1,Procr,Runx1,Sox17,Sox7,Tbx20,Tbx3,FoxH1,Gata1,HbbbH1	693.24	3.45532	0	3	3934
00000000000000000000000000010000100	Pecam1	Tal1	NA	NA	Cdh1,Cdh5,Egfl7,Ets1,Ets2,Etv6,Fli1,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Myb,Notch1,Procr,Runx1,Sox7,Tbx3,FoxH1,FoxO4,Meis1,Sox17,Tbx20	683.92	3.50321	0	3	3934
01000000000001000000000000000000000	Cdh5	Hhex	NA	NA	Cdh1,Egfl7,Ets1,Ets2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Notch1,Pecam1,Procr,Runx1,Sox17,Sox7,Tal1,Tbx20,Tbx3	673.123	3.65554	0	3	3934
