x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
000000000101000000000000000000000	Gata1	Gfi1b	P	NA	1123.08	3.65671	3934	1119.42329	2	NA	NA	+	0.720154452805933
000000000001000010000000000000000	Gfi1b	Ikaros	P	NA	1084.76	3.6804	3934	1081.0796	2	NA	NA	+	0.703150225502441
000000000001000000000000100000000	Gfi1b	Nfe2	P	NA	1079.17	3.67293	3934	1075.49707	-2	NA	NA	+	0.709385934810501
000000000000000000000000010001000	Notch1	Sox7	P	NA	994.075	3.66843	3934	990.40657	2	NA	NA	+	0.683946749306841
000010000000000000000000010000000	Etv2	Notch1	P	NA	944.398	3.66219	3934	940.73581	-2	NA	NA	+	0.671810024105475
010000000000000000000000000001000	Erg	Sox7	P	NA	877.461	3.67309	3934	873.78791	-2	NA	NA	+	0.620839302560317
000000000000000000010000000000100	Lyl1	Tal1	P	NA	796.965	3.51024	3934	793.45476	-2	NA	NA	+	0.642050410704342
100000000000000000010000000000000	Cbfa2t3h	Lyl1	P	NA	791.676	3.60096	3934	788.07504	1	NA	NA	+	0.639113568665617
000000000000000010000001000000000	Ikaros	Myb	P	NA	697.439	3.6866	3934	693.7524	2	NA	NA	+	0.577091816071989
000000100000000000000000000000100	Fli1	Tal1	P	NA	693.24	3.45532	3934	689.78468	-2	NA	NA	+	0.646731494396618
001000000000000000000000010000000	Ets1	Notch1	P	NA	651.387	3.62738	3934	647.75962	2	NA	NA	+	0.567864399823041
000000000000100000000000000001000	Hhex	Sox7	P	NA	634.285	3.6498	3934	630.6352	-2	NA	NA	+	0.555491967099772
100000000000000010000000000000000	Cbfa2t3h	Ikaros	P	NA	616.359	3.64273	3934	612.71627	-2	NA	NA	+	0.525948337879207
000010000000000000000000000000010	Etv2	Tbx20	P	NA	573.971	3.67435	3934	570.29665	2	NA	NA	+	0.525550374946534
000000000100000000000000010000000	Gata1	Notch1	P	NA	511.784	3.65033	3934	508.13367	-2	NA	NA	-	-0.50600137134625
000000000000001000000000000001000	HoxB4	Sox7	P	NA	509.477	3.65943	3934	505.81757	-2	NA	NA	+	0.481157765884693
000000000000000000000100010000000	Meis1	Notch1	P	NA	483.174	3.66161	3934	479.51239	-2	NA	NA	+	0.490521125216264
000000000100000000000000000010000	Gata1	Sox17	P	NA	450.291	3.65256	3934	446.63844	2	NA	NA	-	-0.450172978867968
000000100000000000000000000001000	Fli1	Sox7	P	NA	447.06	3.58414	3934	443.47586	2	NA	NA	+	0.464836795911823
000000000000000010000000001000000	Ikaros	Runx1	P	NA	413.606	3.57376	3934	410.03224	2	NA	NA	+	0.422614581673631
100000000000000000000000000100000	Cbfa2t3h	Sfpi1	P	NA	392.167	3.63033	3934	388.53667	2	NA	NA	+	0.413571524525089
000000000000000000000000000000011	Tbx20	Tbx3	P	NA	389.456	3.68109	3934	385.77491	2	NA	NA	+	0.435707821562892
000000000000000000100000000000100	Lmo2	Tal1	P	NA	354.803	3.54592	3934	351.25708	-2	NA	NA	+	0.371787210762805
000000000000000000001100000000000	Mecom	Meis1	P	NA	237.504	3.60588	3934	233.89812	-2	NA	NA	+	0.326159711677207
000000000000000010000000100000000	Ikaros	Nfe2	P	Gfi1b	234.108	5.96835	3934	228.13965	1	NA	NA	+	0.365559997975619
100000000000000000000000000000100	Cbfa2t3h	Tal1	P	Lyl1	213.277	5.62481	3934	207.65219	-2	NA	NA	+	0.379317485679641
000010000000000000000000000001000	Etv2	Sox7	P	Notch1	212.993	6.04683	3934	206.94617	2	NA	NA	+	0.36659770860801
000000000100000000000000100000000	Gata1	Nfe2	P	Gfi1b	210.359	5.88476	3934	204.47424	2	NA	NA	+	0.361004952167627
011000000000000000000000000000000	Erg	Ets1	P	Notch1	186.457	5.9563	3934	180.5007	2	NA	NA	+	0.253998774624156
010000000000000000000000010000000	Erg	Notch1	P	Sox7	168.53	5.94069	3934	162.58931	2	NA	NA	+	0.279482256935188
000001100000000000000000000000000	Etv6	Fli1	P	NA	152.585	3.28822	3934	149.29678	-2	NA	NA	+	0.311719733829382
000000000000000010010000000000000	Ikaros	Lyl1	P	Cbfa2t3h	150.845	5.99678	3934	144.84822	2	NA	NA	+	0.269722988509186
000000000000000000000000000001010	Sox7	Tbx20	P	Etv2	141.212	6.21187	3934	135.00013	2	NA	NA	+	0.273205119369326
000000000000000000100000000001000	Lmo2	Sox7	P	Tal1	115.136	5.67832	3934	109.45768	2	NA	NA	+	0.248514066642325
000000000000000000001000000010000	Mecom	Sox17	P	Meis1	113.165	6.21523	3934	106.94977	2	NA	NA	+	0.248640988002753
000000000000000000000000000011000	Sox17	Sox7	P	Gata1	111.935	6.28063	3934	105.65437	2	NA	NA	+	0.229844344018638
000000000000100000000000000000100	Hhex	Tal1	P	Fli1	110.234	5.90727	3934	104.32673	2	NA	NA	+	0.178089972575458
010000000000000000010000000000000	Erg	Lyl1	P	Fli1	100.324	5.73139	3934	94.59261	2	NA	NA	+	0.208121122226593
000000000001000000000001000000000	Gfi1b	Myb	P	Ikaros	98.8284	6.11956	3934	92.70884	2	NA	NA	+	0.228742246905038
000000000001000000000000000010000	Gfi1b	Sox17	P	Gata1,Lyl1	102.034	10.1486	3934	91.8854	-2	NA	NA	-	-0.241394195138326
000000000100000000000000000000001	Gata1	Tbx3	P	Tbx20	87.5527	6.41192	3934	81.14078	-2	NA	NA	-	-0.162675957334757
000000000000000000010000000100000	Lyl1	Sfpi1	P	Cbfa2t3h	83.7445	6.0126	3934	77.7319	2	NA	NA	+	0.186851416383555
000000000000000000000000110000000	Nfe2	Notch1	P	Gata1	83.5623	6.1441	3934	77.4182	2	NA	NA	-	-0.064552603076009
000000000010000000000000000100000	Gfi1	Sfpi1	P	NA	80.2066	3.43353	3934	76.77307	-2	NA	NA	+	0.204611006818287
010000000000000000000000000100000	Erg	Sfpi1	P	Tal1	75.2522	5.26329	3934	69.98891	2	NA	NA	+	0.210181441765223
000001000000000000000000010000000	Etv6	Notch1	P	Fli1	60.4105	5.8392	3934	54.5713	2	NA	NA	+	0.15419992126461
000000000000000000000010000000010	Mitf	Tbx20	P	NA	57.413	3.62341	3934	53.78959	-2	NA	NA	-	-0.170382819716063
000000000100000010000000000000000	Gata1	Ikaros	P	Gfi1b,Nfe2,Sox7	68.5908	15.5999	3934	52.9909	2	NA	NA	+	0.221706990601985
