x	y	z.name	ui.vect	zi.vect	Ixy_ui	cplx	Rxyz_ui	category	Nxy_ui
000000000101000000000000000000000	Gata1	Gfi1b	NA	NA	Cbfa2t3h,Erg,Ets1,Etv2,Etv6,FoxH1,FoxO4,Gfi1,Hhex,HoxB2,HoxB4,Ikaros,Ldb1,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Fli1,HoxD8,Lmo2	1123.08	3.65671	0	3	3934
000000000001000010000000000000000	Gfi1b	Ikaros	NA	NA	Cbfa2t3h,Erg,Ets1,Etv2,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Hhex,HoxB4,HoxD8,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Etv6	1084.76	3.6804	0	3	3934
000000000001000000000000100000000	Gfi1b	Nfe2	NA	NA	Cbfa2t3h,Erg,Ets1,Etv2,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Hhex,HoxB4,HoxD8,Ikaros,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Notch1,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3	1079.17	3.67293	0	3	3934
000000000000000000000000010001000	Notch1	Sox7	NA	NA	Cbfa2t3h,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxO4,Gata1,Gfi1,Gfi1b,Hhex,HoxB2,HoxB4,Ikaros,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Runx1,Sfpi1,Sox17,Tal1,Tbx20,Tbx3,FoxH1	994.075	3.66843	0	3	3934
000010000000000000000000010000000	Etv2	Notch1	NA	NA	Cbfa2t3h,Erg,Ets1,Ets2,Etv6,Fli1,FoxO4,Gata1,Gfi1,Gfi1b,Hhex,HoxB2,HoxB4,HoxD8,Ikaros,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3	944.398	3.66219	0	3	3934
010000000000000000000000000001000	Erg	Sox7	NA	NA	Cbfa2t3h,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,Gata1,Gfi1,Gfi1b,Hhex,HoxB2,HoxB4,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Nfe2,Notch1,Sfpi1,Sox17,Tal1,Tbx20,Tbx3,FoxO4,Ikaros,Myb,Runx1	877.461	3.67309	0	3	3934
000000000000000000010000000000100	Lyl1	Tal1	NA	NA	Cbfa2t3h,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,Gata1,Gfi1,Gfi1b,Hhex,HoxB4,Ikaros,Ldb1,Lmo2,Meis1,Myb,Nfe2,Notch1,Runx1,Sfpi1,Sox7,Tbx20,Tbx3,FoxH1,FoxO4,Sox17	796.965	3.51024	0	3	3934
100000000000000000010000000000000	Cbfa2t3h	Lyl1	NA	NA	Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,Gata1,Gfi1,Gfi1b,Hhex,HoxB2,HoxB4,Ikaros,Ldb1,Lmo2,Mitf,Myb,Nfe2,Notch1,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx3,Meis1,Tbx20	791.676	3.60096	0	3	3934
000000000000000010000001000000000	Ikaros	Myb	NA	NA	Cbfa2t3h,Ets1,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HoxD8,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Nfe2,Notch1,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Hhex	697.439	3.6866	0	3	3934
000000100000000000000000000000100	Fli1	Tal1	NA	NA	Cbfa2t3h,Erg,Ets1,Ets2,Etv2,Etv6,FoxO4,Gfi1,Gfi1b,Hhex,HoxB4,Ikaros,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Runx1,Sfpi1,Sox17,Sox7,Tbx20,Tbx3,FoxH1,Gata1	693.24	3.45532	0	3	3934
001000000000000000000000010000000	Ets1	Notch1	NA	NA	Cbfa2t3h,Erg,Ets2,Etv2,Etv6,Fli1,FoxO4,Gata1,Gfi1,Gfi1b,Hhex,HoxB2,HoxB4,Ikaros,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Nfe2,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Myb	651.387	3.62738	0	3	3934
000000000000100000000000000001000	Hhex	Sox7	NA	NA	Cbfa2t3h,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxO4,Gata1,Gfi1,Gfi1b,HoxB4,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Sfpi1,Sox17,Tal1,Tbx20,Tbx3,FoxH1,HoxB2,Ikaros,Runx1	634.285	3.6498	0	3	3934
100000000000000010000000000000000	Cbfa2t3h	Ikaros	NA	NA	Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,Gata1,Gfi1,Gfi1b,Hhex,HoxB2,HoxB4,Ldb1,Lmo2,Lyl1,Mitf,Myb,Nfe2,Notch1,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx3,FoxO4,HoxD8,Mecom,Meis1,Tbx20	616.359	3.64273	0	3	3934
000010000000000000000000000000010	Etv2	Tbx20	NA	NA	Cbfa2t3h,Erg,Ets1,Ets2,Etv6,Fli1,FoxO4,Gata1,Gfi1,Gfi1b,Hhex,HoxB2,HoxB4,HoxD8,Ikaros,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx3,FoxH1	573.971	3.67435	0	3	3934
000000000100000000000000010000000	Gata1	Notch1	NA	NA	Cbfa2t3h,Erg,Ets1,Etv2,Etv6,FoxH1,FoxO4,Gfi1,Gfi1b,Hhex,HoxB2,HoxB4,Ikaros,Ldb1,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Ets2,Fli1,Lmo2	511.784	3.65033	0	3	3934
