x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
0000000000000101000000000000000000000000000000	Gata1	Gfi1b	P	NA	1123.08	3.65671	3934	1119.42329	2	NA	NA	+	0.720154452805933
0010010000000000000000000000000000000000000000	Cdh5	Erg	P	NA	1102.1	3.67883	3934	1098.42117	2	NA	NA	+	0.70508845615376
0000000000000001000001000000000000000000000000	Gfi1b	Ikaros	P	NA	1084.76	3.6804	3934	1081.0796	2	NA	NA	+	0.703150225502441
0000000000000001000000000000000001000000000000	Gfi1b	Nfe2	P	NA	1079.17	3.67293	3934	1075.49707	-2	NA	NA	+	0.709385934810501
0010000000000000000000000000000000000000010000	Cdh5	Sox7	P	NA	1073.19	3.68099	3934	1069.50901	2	NA	NA	+	0.696466404741499
0000000000000000000000000000000000100000010000	Notch1	Sox7	P	NA	994.075	3.66843	3934	990.40657	-2	NA	NA	+	0.683946749306841
0000000010000000000000000000000000100000000000	Etv2	Notch1	P	NA	944.398	3.66219	3934	940.73581	-2	NA	NA	+	0.671810024105475
0000000010000000000000010000000000000000000000	Etv2	Kdr	P	NA	910.137	3.60646	3934	906.53054	2	NA	NA	+	0.653339895856834
0100000000000000000000000000000000000000001000	Cdh1	Tal1	P	NA	868.096	3.41191	3934	864.68409	-2	NA	NA	-	-0.743514256943831
0000000000000000000000000001000000000000001000	Lyl1	Tal1	P	NA	796.965	3.51024	3934	793.45476	2	NA	NA	+	0.642050410704342
1000000000000000000000000001000000000000000000	Cbfa2t3h	Lyl1	P	NA	791.676	3.60096	3934	788.07504	2	NA	NA	+	0.639113568665617
0010000000000000000000010000000000000000000000	Cdh5	Kdr	P	NA	753.695	3.61844	3934	750.07656	-2	NA	NA	+	0.556573176617499
0000000000000000000001000000000010000000000000	Ikaros	Myb	P	NA	697.439	3.6866	3934	693.7524	2	NA	NA	+	0.577091816071989
0010001000000000000000000000000000000000000000	Cdh5	Ets1	P	NA	695.412	3.63994	3934	691.77206	-2	NA	NA	+	0.553994111989976
0000000000100000000000000000000000000000001000	Fli1	Tal1	P	NA	693.24	3.45532	3934	689.78468	-2	NA	NA	+	0.646731494396618
0000000000000000000000000000000000010000001000	Pecam1	Tal1	P	NA	683.92	3.50321	3934	680.41679	-2	NA	NA	+	0.608387164035706
0010000000000000010000000000000000000000000000	Cdh5	Hhex	P	NA	673.123	3.65554	3934	669.46746	2	NA	NA	+	0.554105827094433
0000000000000100100000000000000000000000000000	Gata1	HbbbH1	P	NA	663.155	3.66088	3934	659.49412	2	NA	NA	+	0.563023247496345
1000000000000000000001000000000000000000000000	Cbfa2t3h	Ikaros	P	NA	616.359	3.64273	3934	612.71627	-2	NA	NA	+	0.525948337879207
